market_snapshot_id,symbol_yahoo,symbol_original,company,exchange,is_sp500,quote_success,historical_data_available,valid_trading_days,market_cap_quote,shares_outstanding_quote,market_cap_from_shares,quote_price,latest_close,analysis_exclusion_reason
M_2026-08-22_105907,BDL,BDL,Flanigan's Enterprises Inc. Common Stock,AMEX,FALSE,TRUE,TRUE,30,,,,48.12,48.119998931884766,Missing positive current market capitalization
M_2026-08-22_105907,BEPH,BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,NYSE,FALSE,TRUE,TRUE,30,,,,15.1,15.100000381469727,Missing positive current market capitalization
M_2026-08-22_105907,BEPI,BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,NYSE,FALSE,TRUE,TRUE,30,,,,16.19,16.190000534057617,Missing positive current market capitalization
M_2026-08-22_105907,BEPJ,BEPJ,Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes,NYSE,FALSE,TRUE,TRUE,30,,,,23.75,23.75,Missing positive current market capitalization
M_2026-08-22_105907,BIPH,BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,NYSE,FALSE,TRUE,TRUE,30,,,,15.9201,15.920000076293945,Missing positive current market capitalization
M_2026-08-22_105907,BIPI,BIPI,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes,NYSE,FALSE,TRUE,TRUE,30,,,,16.72,16.719999313354492,Missing positive current market capitalization
M_2026-08-22_105907,BIPJ,BIPJ,Brookfield Infrastructure Corporation 7.250% Subordinated Notes due 2084,NYSE,FALSE,TRUE,TRUE,30,,,,23.95,23.950000762939453,Missing positive current market capitalization
M_2026-08-22_105907,BKE,BKE,Buckle Inc. (The) Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,43.81,43.810001373291016,Missing positive current market capitalization
M_2026-08-22_105907,BLX,BLX,Bladex Inc. Class E Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,53.43,53.43000030517578,Missing positive current market capitalization
M_2026-08-22_105907,BME,BME,Blackrock Health Sciences Trust,NYSE,FALSE,TRUE,TRUE,30,,,,46.13,46.130001068115234,Missing positive current market capitalization
M_2026-08-22_105907,BNH,BNH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080,NYSE,FALSE,TRUE,TRUE,30,,,,15.05,15.050000190734863,Missing positive current market capitalization
M_2026-08-22_105907,BNJ,BNJ,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,NYSE,FALSE,TRUE,TRUE,30,,,,15.07,15.069999694824219,Missing positive current market capitalization
M_2026-08-22_105907,BOE,BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,NYSE,FALSE,TRUE,TRUE,30,,,,12.4,12.399999618530273,Missing positive current market capitalization
M_2026-08-22_105907,BOX,BOX,Box Inc. Class A Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,32.91,32.90999984741211,Missing positive current market capitalization
M_2026-08-22_105907,BRC,BRC,Brady Corporation Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,91.29,91.29000091552734,Missing positive current market capitalization
M_2026-08-22_105907,BST,BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,NYSE,FALSE,TRUE,TRUE,30,,,,49.57,49.56999969482422,Missing positive current market capitalization
M_2026-08-22_105907,BTLN,BTLN,Brightline Interactive Inc. Common Stock,NASDAQ,FALSE,TRUE,TRUE,1,,,,1.07,1.0700000524520874,Missing positive current market capitalization
M_2026-08-22_105907,BUI,BUI,BlackRock Utility Infrastructure & Power Opportunities Trust,NYSE,FALSE,TRUE,TRUE,30,,,,27,27,Missing positive current market capitalization
M_2026-08-22_105907,BVN,BVN,Buenaventura Mining Company Inc.,NYSE,FALSE,TRUE,TRUE,30,,,,35.47,35.470001220703125,Missing positive current market capitalization
M_2026-08-22_105907,CCU,CCU,Compania Cervecerias Unidas S.A. Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,12.34,12.34000015258789,Missing positive current market capitalization
M_2026-08-22_105907,CCZ,CCZ,Comcast Holdings ZONES,NYSE,FALSE,TRUE,TRUE,30,,,,66.4499,66.44999694824219,Missing positive current market capitalization
M_2026-08-22_105907,CDZIP,CDZIP,Cadiz Inc. Depositary Shares,NASDAQ,FALSE,TRUE,TRUE,30,,,,22.2891,22.288999557495117,Missing positive current market capitalization
M_2026-08-22_105907,CET,CET,Central Securities Corporation Common Stock,AMEX,FALSE,TRUE,TRUE,30,,,,54.77,54.77000045776367,Missing positive current market capitalization
M_2026-08-22_105907,CGABL,CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,NASDAQ,FALSE,TRUE,TRUE,30,,,,16.08,16.079999923706055,Missing positive current market capitalization
M_2026-08-22_105907,CICB,CICB,CION Investment Corporation 7.50% Notes due 2029,NYSE,FALSE,TRUE,TRUE,30,,,,25.09,25.09000015258789,Missing positive current market capitalization
M_2026-08-22_105907,CICC,CICC,CION Investment Corporation 7.50% Notes due 2031,NYSE,FALSE,TRUE,TRUE,30,,,,24.94,24.940000534057617,Missing positive current market capitalization
M_2026-08-22_105907,CIG,CIG,Comp En De Mn Cemig ADS American Depositary Shares,NYSE,FALSE,TRUE,TRUE,30,,,,1.92,1.9199999570846558,Missing positive current market capitalization
M_2026-08-22_105907,CIMN,CIMN,Chimera Investment Corporation 9.000% Senior Notes due 2029,NYSE,FALSE,TRUE,TRUE,30,,,,25.1797,25.18000030517578,Missing positive current market capitalization
M_2026-08-22_105907,CIMO,CIMO,Chimera Investment Corporation 9.250% Senior Notes due 2029,NYSE,FALSE,TRUE,TRUE,30,,,,25.33,25.329999923706055,Missing positive current market capitalization
M_2026-08-22_105907,CIMP,CIMP,Chimera Investment Corporation 8.875% Senior Notes due 2030,NYSE,FALSE,TRUE,TRUE,30,,,,25.05,25.049999237060547,Missing positive current market capitalization
M_2026-08-22_105907,CMC,CMC,Commercial Metals Company Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,66.31,66.30999755859375,Missing positive current market capitalization
M_2026-08-22_105907,CMSC,CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,NYSE,FALSE,TRUE,TRUE,30,,,,21.1016,21.100000381469727,Missing positive current market capitalization
M_2026-08-22_105907,CMSD,CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,NYSE,FALSE,TRUE,TRUE,30,,,,20.98,20.979999542236328,Missing positive current market capitalization
M_2026-08-22_105907,COO,COO,The Cooper Companies Inc. Common Stock,NASDAQ,TRUE,TRUE,TRUE,30,,,,76.22,76.220001220703125,Missing positive current market capitalization
M_2026-08-22_105907,CPB,CPB,The Campbell's Company Common Stock,NASDAQ,FALSE,TRUE,TRUE,30,,,,23.95,23.950000762939453,Missing positive current market capitalization
M_2026-08-22_105907,CRBD,CRBD,Corebridge Financial Inc. 6.375% Junior Subordinated Notes due 2064,NYSE,FALSE,TRUE,TRUE,30,,,,22,22,Missing positive current market capitalization
M_2026-08-22_105907,CRM,CRM,Salesforce Inc. Common Stock,NYSE,TRUE,TRUE,TRUE,30,,,,209.17,209.1699981689453,Missing positive current market capitalization
M_2026-08-22_105907,CTGG,CTGG,Qwest Corporation 6.500% Senior Notes due 2051 (denominations of $25),NYSE,FALSE,TRUE,TRUE,30,,,,16.24,16.239999771118164,Missing positive current market capitalization
M_2026-08-22_105907,CTHH,CTHH,Qwest Corporation 6.750% Senior Notes due 2052 (denominations of $25),NYSE,FALSE,TRUE,TRUE,30,,,,16.95,16.950000762939453,Missing positive current market capitalization
M_2026-08-22_105907,CUBB,CUBB,Customers Bancorp Inc 5.375% Subordinated Notes Due 2034,NYSE,FALSE,TRUE,TRUE,30,,,,22.15,22.149999618530273,Missing positive current market capitalization
M_2026-08-22_105907,CX,CX,Cemex S.A.B. de C.V. Sponsored ADR,NYSE,FALSE,TRUE,TRUE,30,,,,11.11,11.109999656677246,Missing positive current market capitalization
M_2026-08-22_105907,CXM,CXM,Sprinklr Inc. Class A Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,7.4,7.400000095367432,Missing positive current market capitalization
M_2026-08-22_105907,CYD,CYD,China Yuchai International Limited Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,39.88,39.880001068115234,Missing positive current market capitalization
M_2026-08-22_105907,CYN,CYN,Cyngn Inc. Common Stock,NASDAQ,FALSE,TRUE,TRUE,30,,,,1.09,1.090000033378601,Missing positive current market capitalization
M_2026-08-22_105907,DAC,DAC,Danaos Corporation Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,149.75,149.75,Missing positive current market capitalization
M_2026-08-22_105907,DAL,DAL,Delta Air Lines Inc. Common Stock,NYSE,TRUE,TRUE,TRUE,30,,,,82.41,82.410003662109375,Missing positive current market capitalization
M_2026-08-22_105907,DCBG,DCBG,Dime Commercial Bancshares Inc. 9.000% Junior Subordinated Notes,NYSE,FALSE,TRUE,TRUE,30,,,,26.2993,26.298999786376953,Missing positive current market capitalization
M_2026-08-22_105907,DCI,DCI,Donaldson Company Inc. Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,93.25,93.25,Missing positive current market capitalization
M_2026-08-22_105907,DDS,DDS,Dillard's Inc. Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,621.63,621.6300048828125,Missing positive current market capitalization
M_2026-08-22_105907,DDT,DDT,Dillard's Capital Trust I,NYSE,FALSE,TRUE,TRUE,30,,,,26.36,26.360000610351563,Missing positive current market capitalization
M_2026-08-22_105907,DHCNI,DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,NASDAQ,FALSE,TRUE,TRUE,30,,,,18.64,18.639999389648438,Missing positive current market capitalization
M_2026-08-22_105907,DHCNL,DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,NASDAQ,FALSE,TRUE,TRUE,1,,,,18.9,18.899999618530273,Missing positive current market capitalization
M_2026-08-22_105907,DIT,DIT,AMCON Distributing Company Common Stock,AMEX,FALSE,TRUE,TRUE,30,,,,70.76,70.76000213623047,Missing positive current market capitalization
M_2026-08-22_105907,DPU,DPU,Top KingWin Ltd Class A Ordinary Shares,NASDAQ,FALSE,TRUE,TRUE,30,,,,2.3,2.299999952316284,Missing positive current market capitalization
M_2026-08-22_105907,DRD,DRD,DRDGOLD Limited American Depositary Shares,NYSE,FALSE,TRUE,TRUE,30,,,,30.7,30.700000762939453,Missing positive current market capitalization
M_2026-08-22_105907,DSS,DSS,DSS Inc. Common Stock,AMEX,FALSE,TRUE,TRUE,30,,,,0.54,0.5400000214576721,Missing positive current market capitalization
M_2026-08-22_105907,DY,DY,Dycom Industries Inc. Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,392.95,392.95001220703125,Missing positive current market capitalization
M_2026-08-22_105907,EBF,EBF,Ennis Inc. Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,21.57,21.56999969482422,Missing positive current market capitalization
M_2026-08-22_105907,ECCU,ECCU,Eagle Point Credit Company 7.75% Notes due 2030,NYSE,FALSE,TRUE,TRUE,30,,,,25.4201,25.420000076293945,Missing positive current market capitalization
M_2026-08-22_105907,ECCV,ECCV,Eagle Point Credit Company 5.375% Notes due 2029,NYSE,FALSE,TRUE,TRUE,30,,,,24.21,24.209999084472656,Missing positive current market capitalization
